task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
40	df/abaca7	14499	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5405022)	COMPLETED	0	2025-04-19 18:46:23.752	1.9s	0ms	82.8%	3 MB	5.4 MB	108.6 KB	4.9 KB
41	44/abf072	14703	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5556343)	COMPLETED	0	2025-04-19 18:46:25.724	1.8s	0ms	187.0%	6.6 MB	220.9 MB	7.3 MB	5.4 KB
35	8a/6ad4ca	14903	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5743893)	COMPLETED	0	2025-04-19 18:46:27.517	1.6s	0ms	69.6%	3.1 MB	5.4 MB	108.6 KB	4.9 KB
38	65/303fb5	15107	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5556343)	COMPLETED	0	2025-04-19 18:46:29.194	3.4s	1s	126.8%	7.8 MB	222.2 MB	7.3 MB	104.4 KB
39	e2/8bb870	15367	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5556343)	COMPLETED	0	2025-04-19 18:46:32.687	1.9s	0ms	103.7%	3.2 MB	5.4 MB	108.6 KB	4.9 KB
46	19/6f991f	15566	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5181310)	COMPLETED	0	2025-04-19 18:46:34.698	9s	7s	128.5%	7.9 MB	222.3 MB	32.5 MB	99 KB
45	1f/c24ef8	16152	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5405022)	COMPLETED	0	2025-04-19 18:46:43.773	2.1s	1s	131.6%	7.3 MB	222.3 MB	7.5 MB	94.2 KB
36	21/25ef6d	16354	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5743893)	COMPLETED	0	2025-04-19 18:46:45.962	1.9s	1s	174.6%	6.7 MB	220.9 MB	4.7 MB	5.4 KB
43	4d/0b1ec5	16557	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5181310)	COMPLETED	0	2025-04-19 18:46:47.963	2.8s	2s	206.7%	6.5 MB	220.9 MB	32.5 MB	5.4 KB
37	e4/02d816	16816	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5743893)	COMPLETED	0	2025-04-19 18:46:50.889	2.7s	1s	128.2%	7.9 MB	222.2 MB	4.7 MB	104.7 KB
49	1f/af050a	17020	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR13500958)	COMPLETED	0	2025-04-19 18:46:53.607	1.9s	0ms	93.6%	3.1 MB	5.4 MB	108.6 KB	4.9 KB
44	22/74b80e	17222	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR13500958)	COMPLETED	0	2025-04-19 18:46:55.575	1.8s	0ms	156.9%	6.6 MB	220.9 MB	5.2 MB	5.4 KB
47	45/161406	17425	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SRR13500958)	COMPLETED	0	2025-04-19 18:46:57.394	2.5s	1s	129.1%	7.8 MB	222.2 MB	5.2 MB	138.8 KB
50	b8/bbd0d9	17630	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (ERR5405022)	COMPLETED	0	2025-04-19 18:46:59.936	36.9s	6s	98.6%	11.8 MB	17.8 MB	7.4 MB	7.5 MB
51	bf/379812	18109	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (ERR5556343)	COMPLETED	0	2025-04-19 18:47:36.890	5.4s	4s	99.1%	11.9 MB	18.1 MB	7.3 MB	7.3 MB
52	6e/6e0058	18473	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (ERR5743893)	COMPLETED	0	2025-04-19 18:47:42.339	4.4s	2s	98.8%	10.6 MB	16.8 MB	4.7 MB	4.6 MB
53	24/3db119	18784	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (ERR5181310)	COMPLETED	0	2025-04-19 18:47:46.787	18.8s	17s	99.5%	30.1 MB	36.2 MB	32.5 MB	32.9 MB
54	d7/b859ff	19581	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (SRR13500958)	COMPLETED	0	2025-04-19 18:48:05.753	5.1s	2s	98.3%	9.1 MB	15.2 MB	5.2 MB	5.2 MB
55	b5/efec1d	19839	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5405022)	COMPLETED	0	2025-04-19 18:48:10.966	4.7s	3s	222.7%	84.4 MB	1.9 GB	7.5 MB	7.4 MB
56	4f/ea6dfa	20158	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5556343)	COMPLETED	0	2025-04-19 18:48:15.675	3.4s	2s	222.0%	156.9 MB	1.9 GB	7.3 MB	7.2 MB
